name,epochs,temperature,alpha,gamma,objective
heur040_n_300_m_13358,100,100.0,0.92,0.7,6103
heur040_n_300_m_13358,100,100.0,0.92,0.9,6487
heur040_n_300_m_13358,100,100.0,0.95,0.7,6458
heur040_n_300_m_13358,100,100.0,0.95,0.9,6487
heur040_n_300_m_13358,100,1000.0,0.92,0.7,6482
heur040_n_300_m_13358,100,1000.0,0.92,0.9,6487
heur040_n_300_m_13358,100,1000.0,0.95,0.7,6487
heur040_n_300_m_13358,100,1000.0,0.95,0.9,6211
heur040_n_300_m_13358,100,10000.0,0.92,0.7,6127
heur040_n_300_m_13358,100,10000.0,0.92,0.9,6411
heur040_n_300_m_13358,100,10000.0,0.95,0.7,6487
heur040_n_300_m_13358,100,10000.0,0.95,0.9,6410
heur041_n_300_m_17492,100,100.0,0.92,0.7,6953
heur041_n_300_m_17492,100,100.0,0.92,0.9,7105
heur041_n_300_m_17492,100,100.0,0.95,0.7,6976
heur041_n_300_m_17492,100,100.0,0.95,0.9,7162
heur041_n_300_m_17492,100,1000.0,0.92,0.7,7316
heur041_n_300_m_17492,100,1000.0,0.92,0.9,7316
heur041_n_300_m_17492,100,1000.0,0.95,0.7,7126
heur041_n_300_m_17492,100,1000.0,0.95,0.9,7316
heur041_n_300_m_17492,100,10000.0,0.92,0.7,7210
heur041_n_300_m_17492,100,10000.0,0.92,0.9,7213
heur041_n_300_m_17492,100,10000.0,0.95,0.7,7197
heur041_n_300_m_17492,100,10000.0,0.95,0.9,7202
heur042_n_300_m_5764,100,100.0,0.92,0.7,1414
heur042_n_300_m_5764,100,100.0,0.92,0.9,1414
heur042_n_300_m_5764,100,100.0,0.95,0.7,1392
heur042_n_300_m_5764,100,100.0,0.95,0.9,1394
heur042_n_300_m_5764,100,1000.0,0.92,0.7,1414
heur042_n_300_m_5764,100,1000.0,0.92,0.9,1414
heur042_n_300_m_5764,100,1000.0,0.95,0.7,1414
heur042_n_300_m_5764,100,1000.0,0.95,0.9,1414
heur042_n_300_m_5764,100,10000.0,0.92,0.7,1414
heur042_n_300_m_5764,100,10000.0,0.92,0.9,1414
heur042_n_300_m_5764,100,10000.0,0.95,0.7,1414
heur042_n_300_m_5764,100,10000.0,0.95,0.9,1414
heur043_n_300_m_12914,100,100.0,0.92,0.7,17811
heur043_n_300_m_12914,100,100.0,0.92,0.9,17811
heur043_n_300_m_12914,100,100.0,0.95,0.7,17811
heur043_n_300_m_12914,100,100.0,0.95,0.9,17811
heur043_n_300_m_12914,100,1000.0,0.92,0.7,17811
heur043_n_300_m_12914,100,1000.0,0.92,0.9,17811
heur043_n_300_m_12914,100,1000.0,0.95,0.7,17811
heur043_n_300_m_12914,100,1000.0,0.95,0.9,17811
heur043_n_300_m_12914,100,10000.0,0.92,0.7,17811
heur043_n_300_m_12914,100,10000.0,0.92,0.9,17811
heur043_n_300_m_12914,100,10000.0,0.95,0.7,17808
heur043_n_300_m_12914,100,10000.0,0.95,0.9,17811
heur044_n_300_m_3234,100,100.0,0.92,0.7,3693
heur044_n_300_m_3234,100,100.0,0.92,0.9,3904
heur044_n_300_m_3234,100,100.0,0.95,0.7,3629
heur044_n_300_m_3234,100,100.0,0.95,0.9,3927
heur044_n_300_m_3234,100,1000.0,0.92,0.7,3947
heur044_n_300_m_3234,100,1000.0,0.92,0.9,3725
heur044_n_300_m_3234,100,1000.0,0.95,0.7,3925
heur044_n_300_m_3234,100,1000.0,0.95,0.9,3947
heur044_n_300_m_3234,100,10000.0,0.92,0.7,3910
heur044_n_300_m_3234,100,10000.0,0.92,0.9,3947
heur044_n_300_m_3234,100,10000.0,0.95,0.7,3714
heur044_n_300_m_3234,100,10000.0,0.95,0.9,3879
heur045_n_300_m_6293,100,100.0,0.92,0.7,9385
heur045_n_300_m_6293,100,100.0,0.92,0.9,9511
heur045_n_300_m_6293,100,100.0,0.95,0.7,9598
heur045_n_300_m_6293,100,100.0,0.95,0.9,9422
heur045_n_300_m_6293,100,1000.0,0.92,0.7,9598
heur045_n_300_m_6293,100,1000.0,0.92,0.9,9570
heur045_n_300_m_6293,100,1000.0,0.95,0.7,9598
heur045_n_300_m_6293,100,1000.0,0.95,0.9,9376
heur045_n_300_m_6293,100,10000.0,0.92,0.7,9574
heur045_n_300_m_6293,100,10000.0,0.92,0.9,9598
heur045_n_300_m_6293,100,10000.0,0.95,0.7,9598
heur045_n_300_m_6293,100,10000.0,0.95,0.9,9598
heur046_n_300_m_13150,100,100.0,0.92,0.7,20253
heur046_n_300_m_13150,100,100.0,0.92,0.9,20253
heur046_n_300_m_13150,100,100.0,0.95,0.7,20252
heur046_n_300_m_13150,100,100.0,0.95,0.9,20253
heur046_n_300_m_13150,100,1000.0,0.92,0.7,20251
heur046_n_300_m_13150,100,1000.0,0.92,0.9,20248
heur046_n_300_m_13150,100,1000.0,0.95,0.7,20251
heur046_n_300_m_13150,100,1000.0,0.95,0.9,20227
heur046_n_300_m_13150,100,10000.0,0.92,0.7,20252
heur046_n_300_m_13150,100,10000.0,0.92,0.9,20253
heur046_n_300_m_13150,100,10000.0,0.95,0.7,20252
